"Stage 1. Fit Out Design, Construct - Rev 1 (Authorised Items)",,,,
,,,,
Ground Level Unisex PWD Toilet,Material,Labour,Total,Margin
Plumbing Supplies,,,,
Supply PWD compliant toilet suite,1/ea,0/hr,"$1,235.42"," $1,482.50 "
Supply PWD compliant vanity and tapware,1/ea,0/hr,$264.76, $317.71 
Supply PWD compliant hand and grab rails.,1/ea,0/hr,$380.06, $456.07 
"Supply Paper towel dispenser, soap dispenser and mirror.",1/ea,0/hr,$863.56," $1,036.27 "
Supply PWD Compliant shower,1/ea,0/hr,"$1,105.53"," $1,326.64 "
Supply Signage as required for a PWD wet area.,1/ea,0/hr,$92.11, $110.53 
Flooring Contractor,,,, $-   
"Supply and install vinyl flooring including coved skirting
Polyflor Apex Vinyl - Colour TBC
150mm Coved skiting",9/m2,1/ea,"$1,820.00"," $2,184.00 "
Supply and install wall vinyl to shower recess,9/m2,0/m2,"$1,557.00"," $1,868.40 "
"Supply and Install Screeding to PWD room - Allowance for entire room

Engineered bed up to 40mm thick, falls to waste
1 x Floor Waste Drain",0/ea,1/ea,"$1,830.00"," $2,196.00 "
Skim coat to concrete slab areas,0/ea,1/ea,$390.00, $468.00 
Waterproofing,,,, $-   
"Supply and install waterproofing to wet areas.
Waterprooﬁng of the wet area to be in accordance with AS 3740:2021 and the requirements of the National Construction Code.
Form 12 to be supplied",0/ea,14/m2,"$1,722.00"," $2,066.40 "
Carpentry,,,, $-   
Supply and install metal stud wall framing including nogging for wall hung services,10/lm,3/hr,"$2,450.00"," $2,940.00 "
Architrave - Supply and install to match existing profile up to 66mm - excluding hardwood.,0/ea,12/lm,$180.00, $216.00 
Install solicore door,0/ea,2/hr,"$1,000.00"," $1,200.00 "
Insulation,,,, $-   
Supply and install wall and ceiling insulation - R1.5,32/m2,0/hr,$320.00, $384.00 
Plastering,,,, $-   
"Supply and install 13mm water resistant plasterboard, set and sand ready for paint
Walls and ceiling",33/m2,0/hr,"$1,320.00"," $1,584.00 "
Allowance for square set ceiling and wall junction,11/lm,0/hr,$165.00, $198.00 
Supply and install ceiling battens,20/lm,0/hr,$200.00, $240.00 
Painting,,,, $-   
Prepare and paint with a two coat system all walls and ceilings,56/m2,0/hr,"$1,400.00"," $1,680.00 "
Materials,,,, $-   
"Supply and deliver 2040 x 920 x 35 Hume Solicore door
Includes jamb and hardware",1/ea,0/hr,$484.00, $580.80 
"$18,779.44",,,, $-   
,,,, $-   
Ground Level Wash Up / Store,Material,Labour,Total,#VALUE!
General Note,,,, $-   
Ceiling not required,0/ea,1/Note,$0.00, $-   
Flooring Contractor,,,, $-   
"Supply and install vinyl flooring including coved skirting
Polyflor Apex Vinyl - Colour TBC
150mm Coved skiting",7/m2,0/hr,"$1,190.00"," $1,428.00 "
Plumbing Supplies,,,, $-   
Supply and deliver full length stainless steel bench with sink,1/ea,0/hr,"$2,153.84"," $2,584.61 "
"Supply Soap dispenser, paper towel dispenser, mirror",1/ea,0/hr,$574.88, $689.86 
Supply 6 No. coat hooks to wall opposite the sink.,6/ea,0/hr,$43.68, $52.42 
Supply and deliver 50L Elec HWS,1/ea,0/hr,$512.04, $614.45 
Carpentry,,,, $-   
"Install Cladding to wall elevations as required.
9mm Versilux",0/m2,6/hr,"$3,000.00"," $3,600.00 "
Painting,,,, $-   
Prepare and paint exterior cladding,17/ea,0/hr,$476.00, $571.20 
Materials,,,, $-   
Supply and deliver Versilux,19/m2,0/hr,$722.00, $866.40 
"$8,672.44",,,, $-   
,,,, $-   
Ground Level Staff Room,Material,Labour,Total,#VALUE!
Plastering,,,, $-   
"Supply, sheet, set and sand ready for paint wall and ceiling linings
13mm plasterboard",81/m2,0/hr,"$3,240.00"," $3,888.00 "
Allowance for square set ceiling and wall junction,18/lm,0/hr,$270.00, $324.00 
Supply and install ceiling battens,48/lm,0/hr,$480.00, $576.00 
Carpentry,,,, $-   
"Install Cladding to wall elevations as required.
9mm Versilux",0/m2,8/hr,"$4,000.00"," $4,800.00 "
Supply and install metal stud wall framing including nogging for wall hung services,20/lm,8/hr,"$4,300.00"," $5,160.00 "
Supply and install architraves to door,12/lm,0/hr,$180.00, $216.00 
Insulation,,,, $-   
Wall and ceiling insulation to at R 1.5.,44/m2,0/hr,$440.00, $528.00 
Flooring Contractor,,,, $-   
"Supply and install vinyl flooring including coved skirting
Polyflor Apex Vinyl - Colour TBC
150mm Coved skiting",23/m2,0/hr,"$3,910.00"," $4,692.00 "
Joinery,,,, $-   
Supply and install adjustable shelving unit to elevation F.,1/ea,0/hr,"$4,200.00"," $5,040.00 "
Supply and install Kitchen Joinery to elevation E.,1/ea,0/hr,"$16,800.00"," $20,160.00 "
Doors,,,, $-   
Supply and install aluminium slider with adjacent ﬁxed light.,1/ea,0/hr,"$1,680.00"," $2,016.00 "
Painting,,,, $-   
Prepare and paint with a two coat system all walls and ceilings,64/m2,0/hr,"$1,600.00"," $1,920.00 "
Prepare and paint exterior cladding,38/m2,0/hr,"$1,064.00"," $1,276.80 "
Plumbing Supplies,,,, $-   
Supply and deliver paper towel dispenser,1/ea,0/hr,$138.97, $166.76 
Supply and deliver hot / cold zip tap,1/ea,0/hr,"$5,130.20"," $6,156.24 "
Supply and deliver sink and mixer,1/ea,0/hr,$217.18, $260.62 
Materials,,,, $-   
Supply and deliver 9mm Versilux,43/m2,0/hr,"$1,634.00"," $1,960.80 "
"$49,284.35",,,, $-   
,,,, $-   
Workshop Administration,Material,Labour,Total,#VALUE!
General Note,,,, $-   
Ceiling not required.,0/ea,1/Note,$0.00, $-   
Dividing nib walls do not require insulation.,0/ea,1/Note,$0.00, $-   
Frame and wall covering included in staff room allowance,0/ea,1/Note,$0.00, $-   
No allowance for flooring to this area,0/ea,1/ea,$0.00, $-   
Joinery,,,, $-   
"Supply and install Shelving and work bench to elevation G.
Adjustable shelving allowed for",1/ea,0/hr,"$2,100.00"," $2,520.00 "
Supply and install Laminex benchtop,1/ea,0/hr,"$2,100.00"," $2,520.00 "
Painting,,,, $-   
Prepare and paint all walls not covered by joinery,10/m2,0/hr,$250.00, $300.00 
"$4,450.00",,,, $-   
,,,, $-   
Level 1 Office,Material,Labour,Total,#VALUE!
Plastering,,,, $-   
"Supply, sheet, set and sand ready for paint wall and ceiling linings
13mm plasterboard",95/m2,0/hr,"$3,800.00"," $4,560.00 "
Allowance for square set ceiling and wall junction,26/lm,0/hr,$390.00, $468.00 
Supply and install suspended ceiling system,1/ea,0/hr,"$3,525.00"," $4,230.00 "
Carpentry,,,, $-   
Supply and install metal stud wall framing including nogging for wall hung services,26/lm,8/hr,"$6,470.00"," $7,764.00 "
Supply and install solid core door with glazed panel and key locked,1/ea,3/hr,"$2,275.00"," $2,730.00 "
Supply and install timber skirting 42mm,26/lm,0/hr,$390.00, $468.00 
Supply and install timber architraves,24/lm,0/hr,$360.00, $432.00 
